image_id,source_dataset,label,generator,native_path,sha256,provenance_verified,role
EXT_REAL_0001,COCO_val2017,0,Real,data/external_v1/native/real/coco2017/EXT_REAL_0001_450758.jpg,2bd41c7c8af67b477941538a4da8c8edadfe6b26bc3e19cfe991a89b35a2fe1b,true,real_only_false_positive_stress
EXT_REAL_0002,COCO_val2017,0,Real,data/external_v1/native/real/coco2017/EXT_REAL_0002_250619.jpg,3c21d6cb222e98c8fd88a6ea7ab6b0bacec19a5802092098536a079cc26dd23f,true,real_only_false_positive_stress
EXT_REAL_0003,COCO_val2017,0,Real,data/external_v1/native/real/coco2017/EXT_REAL_0003_377723.jpg,47a58184ee83f6c0c483a2ca1f2ce4550b08170a9576c8e78bda16693a591786,true,real_only_false_positive_stress
EXT_REAL_0004,COCO_val2017,0,Real,data/external_v1/native/real/coco2017/EXT_REAL_0004_231549.jpg,9e6d5c06414b2a61fa85e4ac991dd8e7f43c05bdb652cbcd6045d843c16e68d8,true,real_only_false_positive_stress
EXT_REAL_0005,COCO_val2017,0,Real,data/external_v1/native/real/coco2017/EXT_REAL_0005_171382.jpg,f96faf8870853b0f11e2746eb86cb0dbc7e34c1b4903e3d912aa857002ef9bf3,true,real_only_false_positive_stress
EXT_REAL_0006,COCO_val2017,0,Real,data/external_v1/native/real/coco2017/EXT_REAL_0006_466416.jpg,905f640f424be3ccb20aa010e1efcf880bee51109abb7dffe614a018362a0c79,true,real_only_false_positive_stress
EXT_REAL_0007,COCO_val2017,0,Real,data/external_v1/native/real/coco2017/EXT_REAL_0007_258883.jpg,3fedde1647fae071fe3fd56eb2580a2461b6984890c9ab289819fe644d71e4c6,true,real_only_false_positive_stress
EXT_REAL_0008,COCO_val2017,0,Real,data/external_v1/native/real/coco2017/EXT_REAL_0008_377635.jpg,538475c933dc840f54b42708ac824a1bff11a6c419f52b447729e01078d04fd1,true,real_only_false_positive_stress
EXT_REAL_0009,COCO_val2017,0,Real,data/external_v1/native/real/coco2017/EXT_REAL_0009_446207.jpg,ddef57e0ea54ff2eca3729558f951451037e183eadaed9c1913264a389e925b1,true,real_only_false_positive_stress
EXT_REAL_0010,COCO_val2017,0,Real,data/external_v1/native/real/coco2017/EXT_REAL_0010_236784.jpg,cdd94432188f912462ec36a51f6e17efe537e472ef427654d37f26cf76bea4e7,true,real_only_false_positive_stress
