image_id,processed_path,label,generator,split,feature_version,mean_brightness,std_brightness,mean_red,mean_green,mean_blue,std_red,std_green,std_blue,mean_saturation,edge_density,sharpness,entropy,high_frequency_ratio
pilot_000001,data/processed/controlled_v1/images/ADM/pilot_000001.jpg,1,ADM,train,handcrafted_features_v1,0.42217617046818723,0.22087372275870962,0.44771150647759106,0.43850735606742697,0.2711106317527011,0.2583932442744302,0.21336600894327593,0.19341426232638467,0.4624703787765106,0.1103515625,745.2188537165504,7.581779369559815,0.05641391741560192
pilot_000003,data/processed/controlled_v1/images/BigGAN/pilot_000003.jpg,1,BigGAN,train,handcrafted_features_v1,0.4794673306822729,0.10407835577676516,0.6173897684073629,0.45479316726690683,0.24477369072629052,0.10191427075053307,0.11421809786639704,0.07700490309078604,0.6096025128801521,0.03631218112244898,97.15521924051828,6.693432710505922,0.09343384379160424
pilot_000004,data/processed/controlled_v1/images/Real/pilot_000004.jpg,0,Real,train,handcrafted_features_v1,0.3240071651316777,0.22780596711881457,0.3188805209583834,0.3236378145008003,0.3393551952030813,0.24031388751915034,0.2329800213017331,0.18778846098167815,0.27099261579631856,0.12224968112244898,3096.051825053093,7.24250389595389,0.0931197817814926
pilot_000005,data/processed/controlled_v1/images/GLIDE/pilot_000005.jpg,1,GLIDE,train,handcrafted_features_v1,0.6094193905687275,0.20568971542721887,0.47694538753001203,0.6836873030462185,0.5744585334133654,0.23303897568463822,0.24040212206552794,0.3675702990360569,0.5644028705232093,0.020467952806122448,23.342900387002544,7.493226431935902,0.025032437330296295
pilot_000009,data/processed/controlled_v1/images/SD15/pilot_000009.jpg,1,SD15,train,handcrafted_features_v1,0.3500842880120798,0.08217763884639774,0.5006667510754301,0.3116782650560224,0.15289287590036016,0.21295993696601803,0.07175538414132386,0.07925534906035671,0.6367224233443377,0.01620296556122449,133.70005943714605,6.270714851290472,0.05820945119393283
pilot_000012,data/processed/controlled_v1/images/Real/pilot_000012.jpg,0,Real,train,handcrafted_features_v1,0.5054335976578131,0.2600979366489409,0.5293417366946779,0.5055667579531813,0.44204150410164067,0.2548052751749639,0.2693508047952073,0.2657434202501011,0.24309786414565832,0.2158801020408163,4435.887116773383,7.737802236652956,0.1344566207016
pilot_000015,data/processed/controlled_v1/images/ADM/pilot_000015.jpg,1,ADM,validation,handcrafted_features_v1,0.4086445528992847,0.2777481942343567,0.426913343462385,0.4038174644857943,0.3855843118497399,0.3019616267288939,0.282867603652663,0.2587088711234309,0.24179515556222492,0.07202646683673469,477.4666392565866,7.712417271104554,0.03675175583606186
pilot_000017,data/processed/controlled_v1/images/BigGAN/pilot_000017.jpg,1,BigGAN,validation,handcrafted_features_v1,0.3073970839898459,0.17105110830011758,0.3878746029661865,0.30629431460084033,0.1019983774759904,0.25656939049008504,0.17235107594385363,0.0696759321307686,0.6708007421718687,0.05042251275510204,68.09389743026422,7.031697252775312,0.044357798435890994
pilot_000019,data/processed/controlled_v1/images/GLIDE/pilot_000019.jpg,1,GLIDE,validation,handcrafted_features_v1,0.606675924744898,0.11411345999986401,0.1555297900410164,0.7864429365496198,0.8643027523509403,0.12765999357603405,0.11383471023721227,0.10997148323720335,0.832086819102641,0.005699936224489796,9.109284856526966,6.575457545075661,0.02516727020930478
pilot_000020,data/processed/controlled_v1/images/Real/pilot_000020.jpg,0,Real,validation,handcrafted_features_v1,0.48212906240621245,0.18642228774112074,0.46052280287114844,0.49496845613245294,0.4726864964735895,0.1949576694560062,0.18970954997767855,0.19292033819900853,0.23284954606842734,0.10955436862244898,745.8744012641192,7.483606395673102,0.12283362120049296
pilot_000023,data/processed/controlled_v1/images/SD15/pilot_000023.jpg,1,SD15,validation,handcrafted_features_v1,0.3357380166128951,0.1652388941206418,0.4523593030962385,0.311241918642457,0.1559963047719088,0.27626849613711757,0.15455748668658306,0.14340224481122016,0.5946330876100441,0.0846420599489796,406.78717538904317,7.340615070621681,0.09692578728025755
