image_id,original_filename,raw_path,processed_path,label,generator,split,random_seed,split_protocol
pilot_000000,n01440764_11602.JPEG,data/raw/tiny-genimage/images/Real/n01440764_11602.JPEG,data/processed/controlled_v1/images/Real/pilot_000000.jpg,0,Real,unseen_test,42,generator_protocol_v1
pilot_000001,0_adm_123.PNG,data/raw/tiny-genimage/images/ADM/0_adm_123.PNG,data/processed/controlled_v1/images/ADM/pilot_000001.jpg,1,ADM,train,42,generator_protocol_v1
pilot_000002,n01440764_5969.JPEG,data/raw/tiny-genimage/images/Real/n01440764_5969.JPEG,data/processed/controlled_v1/images/Real/pilot_000002.jpg,0,Real,unseen_test,42,generator_protocol_v1
pilot_000003,000_biggan_00093.png,data/raw/tiny-genimage/images/BigGAN/000_biggan_00093.png,data/processed/controlled_v1/images/BigGAN/pilot_000003.jpg,1,BigGAN,train,42,generator_protocol_v1
pilot_000004,n01440764_2751.JPEG,data/raw/tiny-genimage/images/Real/n01440764_2751.JPEG,data/processed/controlled_v1/images/Real/pilot_000004.jpg,0,Real,train,42,generator_protocol_v1
pilot_000005,GLIDE_1000_200_00_001_glide_00086.png,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_001_glide_00086.png,data/processed/controlled_v1/images/GLIDE/pilot_000005.jpg,1,GLIDE,train,42,generator_protocol_v1
pilot_000006,n01440764_15678.JPEG,data/raw/tiny-genimage/images/Real/n01440764_15678.JPEG,data/processed/controlled_v1/images/Real/pilot_000006.jpg,0,Real,known_test,42,generator_protocol_v1
pilot_000007,0_midjourney_161.png,data/raw/tiny-genimage/images/Midjourney/0_midjourney_161.png,data/processed/controlled_v1/images/Midjourney/pilot_000007.jpg,1,Midjourney,unseen_test,42,generator_protocol_v1
pilot_000008,n01440764_12548.JPEG,data/raw/tiny-genimage/images/Real/n01440764_12548.JPEG,data/processed/controlled_v1/images/Real/pilot_000008.jpg,0,Real,unseen_test,42,generator_protocol_v1
pilot_000009,001_sdv5_00094.png,data/raw/tiny-genimage/images/SD15/001_sdv5_00094.png,data/processed/controlled_v1/images/SD15/pilot_000009.jpg,1,SD15,train,42,generator_protocol_v1
pilot_000010,n01440764_24828.JPEG,data/raw/tiny-genimage/images/Real/n01440764_24828.JPEG,data/processed/controlled_v1/images/Real/pilot_000010.jpg,0,Real,known_test,42,generator_protocol_v1
pilot_000011,VQDM_1000_200_00_001_vqdm_00085.png,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_001_vqdm_00085.png,data/processed/controlled_v1/images/VQDM/pilot_000011.jpg,1,VQDM,unseen_test,42,generator_protocol_v1
pilot_000012,n01440764_14342.JPEG,data/raw/tiny-genimage/images/Real/n01440764_14342.JPEG,data/processed/controlled_v1/images/Real/pilot_000012.jpg,0,Real,train,42,generator_protocol_v1
pilot_000013,0_wukong_image104.png,data/raw/tiny-genimage/images/Wukong/0_wukong_image104.png,data/processed/controlled_v1/images/Wukong/pilot_000013.jpg,1,Wukong,unseen_test,42,generator_protocol_v1
