image_id,saved_raw_probability,new_raw_probability,absolute_difference,device,pass
pilot_000000,0.1305307149887085,0.1305303886268408,3.2636186769741116e-07,cpu,True
pilot_000002,0.0211992319673299,0.02119907425490402,1.577124258793361e-07,cpu,True
pilot_000006,0.0052360789850354,0.005236061391413646,1.7593621754775912e-08,cpu,True
pilot_000007,0.0007320832810364,0.0007320744964440947,8.784592305313699e-09,cpu,True
pilot_000008,0.0002933308715,0.0002933300429188545,8.285811454815904e-10,cpu,True
pilot_000010,3.1885731004877016e-05,3.188582086122357e-05,8.985634655236333e-11,cpu,True
pilot_000011,0.0001415219594491,0.00014152128889961048,6.705494895236849e-10,cpu,True
pilot_000013,0.1886356174945831,0.18863675879874528,1.1413041621777253e-06,cpu,True
pilot_000014,0.2121001332998275,0.21210204797649387,1.914676666381343e-06,cpu,True
pilot_000016,0.0032698586583137,0.003269864943441455,6.285127755051301e-09,cpu,True
