external_image_id,label,class_name,generator,generator_version,source_type,source_dataset,prompt_id,prompt,source_image_id_if_real,native_path,native_extension,native_width,native_height,native_mode,file_size_bytes,sha256,acquisition_date,generation_seed,seed_supported,provenance_verified,notes
EXT_REAL_0001,0,Real,none,n/a,photograph,COCO_val2017,,,450758,data/external_v1/native/real/coco2017/EXT_REAL_0001_450758.jpg,.jpg,640,479,RGB,156533,2bd41c7c8af67b477941538a4da8c8edadfe6b26bc3e19cfe991a89b35a2fe1b,2026-08-24,,false,true,Official COCO 2017 validation photograph; ImageNet excluded by protocol
EXT_REAL_0002,0,Real,none,n/a,photograph,COCO_val2017,,,250619,data/external_v1/native/real/coco2017/EXT_REAL_0002_250619.jpg,.jpg,640,481,RGB,122268,3c21d6cb222e98c8fd88a6ea7ab6b0bacec19a5802092098536a079cc26dd23f,2026-08-24,,false,true,Official COCO 2017 validation photograph; ImageNet excluded by protocol
EXT_REAL_0003,0,Real,none,n/a,photograph,COCO_val2017,,,377723,data/external_v1/native/real/coco2017/EXT_REAL_0003_377723.jpg,.jpg,640,427,RGB,213772,47a58184ee83f6c0c483a2ca1f2ce4550b08170a9576c8e78bda16693a591786,2026-08-24,,false,true,Official COCO 2017 validation photograph; ImageNet excluded by protocol
EXT_REAL_0004,0,Real,none,n/a,photograph,COCO_val2017,,,231549,data/external_v1/native/real/coco2017/EXT_REAL_0004_231549.jpg,.jpg,640,480,RGB,139244,9e6d5c06414b2a61fa85e4ac991dd8e7f43c05bdb652cbcd6045d843c16e68d8,2026-08-24,,false,true,Official COCO 2017 validation photograph; ImageNet excluded by protocol
EXT_REAL_0005,0,Real,none,n/a,photograph,COCO_val2017,,,171382,data/external_v1/native/real/coco2017/EXT_REAL_0005_171382.jpg,.jpg,640,426,RGB,222294,f96faf8870853b0f11e2746eb86cb0dbc7e34c1b4903e3d912aa857002ef9bf3,2026-08-24,,false,true,Official COCO 2017 validation photograph; ImageNet excluded by protocol
EXT_REAL_0006,0,Real,none,n/a,photograph,COCO_val2017,,,466416,data/external_v1/native/real/coco2017/EXT_REAL_0006_466416.jpg,.jpg,640,425,RGB,184653,905f640f424be3ccb20aa010e1efcf880bee51109abb7dffe614a018362a0c79,2026-08-24,,false,true,Official COCO 2017 validation photograph; ImageNet excluded by protocol
EXT_REAL_0007,0,Real,none,n/a,photograph,COCO_val2017,,,258883,data/external_v1/native/real/coco2017/EXT_REAL_0007_258883.jpg,.jpg,426,640,RGB,123310,3fedde1647fae071fe3fd56eb2580a2461b6984890c9ab289819fe644d71e4c6,2026-08-24,,false,true,Official COCO 2017 validation photograph; ImageNet excluded by protocol
EXT_REAL_0008,0,Real,none,n/a,photograph,COCO_val2017,,,377635,data/external_v1/native/real/coco2017/EXT_REAL_0008_377635.jpg,.jpg,640,427,RGB,271461,538475c933dc840f54b42708ac824a1bff11a6c419f52b447729e01078d04fd1,2026-08-24,,false,true,Official COCO 2017 validation photograph; ImageNet excluded by protocol
EXT_REAL_0009,0,Real,none,n/a,photograph,COCO_val2017,,,446207,data/external_v1/native/real/coco2017/EXT_REAL_0009_446207.jpg,.jpg,640,480,RGB,105808,ddef57e0ea54ff2eca3729558f951451037e183eadaed9c1913264a389e925b1,2026-08-24,,false,true,Official COCO 2017 validation photograph; ImageNet excluded by protocol
EXT_REAL_0010,0,Real,none,n/a,photograph,COCO_val2017,,,236784,data/external_v1/native/real/coco2017/EXT_REAL_0010_236784.jpg,.jpg,500,400,RGB,207482,cdd94432188f912462ec36a51f6e17efe537e472ef427654d37f26cf76bea4e7,2026-08-24,,false,true,Official COCO 2017 validation photograph; ImageNet excluded by protocol
EXT_REAL_0011,0,Real,none,n/a,photograph,COCO_val2017,,,548339,data/external_v1/native/real/coco2017/EXT_REAL_0011_548339.jpg,.jpg,640,576,RGB,312199,b4dd9bf477d92c009da5e381b224d74d3cf0192559b609b1a6f17cfad0d68758,2026-08-24,,false,true,Official COCO 2017 validation photograph; ImageNet excluded by protocol
