image_id,dataset,calibrated_probability,raw_probability,group,selective_prediction,generator
pilot_000006,Tiny-GenImage,0.0597772604614664,0.0052360789850354,CORRECT_CONFIDENT_REAL,REAL,Real
pilot_000010,Tiny-GenImage,0.0043329079275071,3.1885731004877016e-05,CORRECT_CONFIDENT_REAL,REAL,Real
pilot_000014,Tiny-GenImage,0.3342161507912972,0.2121001332998275,UNCERTAIN_REAL,UNCERTAIN,Real
pilot_000024,Tiny-GenImage,0.0230787103736593,0.0007984244148246,CORRECT_CONFIDENT_REAL,REAL,Real
pilot_000048,Tiny-GenImage,0.3663323970451443,0.2604838609695434,UNCERTAIN_REAL,UNCERTAIN,Real
pilot_000050,Tiny-GenImage,0.0064512140843353,6.831261998740956e-05,CORRECT_CONFIDENT_REAL,REAL,Real
pilot_000054,Tiny-GenImage,0.0372105311477843,0.0020359852351248,CORRECT_CONFIDENT_REAL,REAL,Real
pilot_000078,Tiny-GenImage,0.0071929112049647,8.416063792537898e-05,CORRECT_CONFIDENT_REAL,REAL,Real
pilot_000084,Tiny-GenImage,0.0149301818951084,0.0003430796496104,CORRECT_CONFIDENT_REAL,REAL,Real
pilot_000094,Tiny-GenImage,0.0553059660159265,0.0044783796183764,CORRECT_CONFIDENT_REAL,REAL,Real
pilot_000104,Tiny-GenImage,0.4088488628714118,0.3313426971435547,UNCERTAIN_REAL,UNCERTAIN,Real
pilot_000110,Tiny-GenImage,0.4008291335214951,0.3174534440040588,UNCERTAIN_REAL,UNCERTAIN,Real
pilot_000120,Tiny-GenImage,0.4520110830769102,0.4093518555164337,UNCERTAIN_REAL,UNCERTAIN,Real
pilot_000132,Tiny-GenImage,0.0853116457230003,0.0108014233410358,CORRECT_CONFIDENT_REAL,REAL,Real
pilot_000136,Tiny-GenImage,0.3397242698584019,0.2200513631105423,UNCERTAIN_REAL,UNCERTAIN,Real
pilot_000154,Tiny-GenImage,0.017791199528596,0.0004816417058464,CORRECT_CONFIDENT_REAL,REAL,Real
pilot_000160,Tiny-GenImage,0.1255005977315358,0.0242060385644435,CORRECT_CONFIDENT_REAL,REAL,Real
pilot_000170,Tiny-GenImage,0.0234515458806043,0.0008237423608079,CORRECT_CONFIDENT_REAL,REAL,Real
pilot_000184,Tiny-GenImage,0.0352109753416798,0.0018258847994729,CORRECT_CONFIDENT_REAL,REAL,Real
pilot_000194,Tiny-GenImage,0.0183628639799191,0.0005120902205817,CORRECT_CONFIDENT_REAL,REAL,Real
pilot_000212,Tiny-GenImage,0.0482582171408757,0.0034096664749085,CORRECT_CONFIDENT_REAL,REAL,Real
pilot_000220,Tiny-GenImage,0.0072273274821088,8.493463246850297e-05,CORRECT_CONFIDENT_REAL,REAL,Real
pilot_000250,Tiny-GenImage,0.7897043861566793,0.9254973530769348,FALSE_AI_REAL,AI-GENERATED,Real
pilot_000264,Tiny-GenImage,0.1143649070359106,0.0198856256902217,CORRECT_CONFIDENT_REAL,REAL,Real
pilot_000272,Tiny-GenImage,0.3005980446252642,0.166868969798088,UNCERTAIN_REAL,UNCERTAIN,Real
pilot_000274,Tiny-GenImage,0.2728755701527567,0.1339767873287201,UNCERTAIN_REAL,UNCERTAIN,Real
