mean_brightness,std_brightness,mean_saturation,edge_density,sharpness,entropy,high_frequency_ratio,width,height,aspect_ratio,native_format,image_id,dataset,generator,ai_era
0.4710871743228542,0.2669636766391538,0.3399153411364546,0.12773038903061223,1199.7259814168256,7.755866991006813,0.07691057995021873,240.0,180.0,1.3333333333333333,jpeg,pilot_000006,Tiny-GenImage,Real,real
0.457952233002576,0.21883392475419386,0.3284886610894358,0.08107461734693877,1528.3894089897788,7.6919691008303595,0.061819503091964136,480.0,320.0,1.5,jpeg,pilot_000010,Tiny-GenImage,Real,real
0.20186780204269206,0.2330662729917178,0.3842437756352541,0.041015625,194.96406762831316,6.503062978222969,0.029204875619782827,244.0,227.0,1.0748898678414096,jpeg,pilot_000014,Tiny-GenImage,Real,real
0.4209610660670518,0.2727372831987034,0.3959116459083633,0.22646285076530612,4702.628522522596,7.88909496485612,0.1941072524318731,256.0,341.0,0.750733137829912,jpeg,pilot_000024,Tiny-GenImage,Real,real
0.4990116348883303,0.10867930147227628,0.6591195853341336,0.02032844387755102,80.11225922213947,6.479066701330597,0.036440618468512764,500.0,375.0,1.3333333333333333,jpeg,pilot_000048,Tiny-GenImage,Real,real
0.2094579119147659,0.09429722577888532,0.775078156262505,0.08213089923469388,1422.9904302285643,5.684149311669151,0.2784672905821979,500.0,332.0,1.5060240963855422,jpeg,pilot_000050,Tiny-GenImage,Real,real
0.3415982203037465,0.1426561807481904,0.6396639905962385,0.0823501275510204,2141.784308910171,6.944428888606786,0.21780144705886853,500.0,324.0,1.5432098765432098,jpeg,pilot_000054,Tiny-GenImage,Real,real
0.3960409734987745,0.23577082437624572,0.6602971657412965,0.15214445153061223,2320.4420369949403,7.660707790505134,0.10749033899191333,500.0,400.0,1.25,jpeg,pilot_000078,Tiny-GenImage,Real,real
0.22259840647196377,0.1283530501094338,0.6325579450530212,0.016900510204081634,241.3568442649317,6.262893942115559,0.03890793092629211,500.0,333.0,1.5015015015015014,jpeg,pilot_000084,Tiny-GenImage,Real,real
0.2012773751688175,0.24465408940599603,0.7700045643257303,0.05100047831632653,815.5535021598813,5.829865088588149,0.03869445512323445,590.0,300.0,1.9666666666666666,jpeg,pilot_000094,Tiny-GenImage,Real,real
0.48513279421143457,0.18247656311541557,0.14973176770708282,0.08310746173469388,247.87469780122373,7.232991449087331,0.06119465713106668,300.0,225.0,1.3333333333333333,jpeg,pilot_000104,Tiny-GenImage,Real,real
0.4329751313806772,0.22541967421867162,0.27242748661964783,0.16908482142857142,1552.3961873620513,7.525886271905493,0.08067983993520876,225.0,300.0,0.75,jpeg,pilot_000110,Tiny-GenImage,Real,real
0.4086187496873749,0.17085561783382522,0.9478610975640256,0.012834821428571428,26.81586448195972,6.965616741045829,0.020191967464291846,500.0,332.0,1.5060240963855422,jpeg,pilot_000120,Tiny-GenImage,Real,real
0.4494767354598089,0.15376303582617332,0.6296440451180472,0.017020089285714284,772.1716329931271,7.052500735802488,0.05680139489215766,500.0,375.0,1.3333333333333333,jpeg,pilot_000132,Tiny-GenImage,Real,real
0.4930312134228692,0.08039306051134464,0.26612723214285716,0.05464764030612245,349.18694399794356,6.068391526487861,0.1499737399510338,500.0,375.0,1.3333333333333333,jpeg,pilot_000136,Tiny-GenImage,Real,real
0.32162698540353635,0.15901550708145223,0.841439700880352,0.04924665178571429,674.9930131678678,6.031302455725352,0.08305241902585896,500.0,333.0,1.5015015015015014,jpeg,pilot_000154,Tiny-GenImage,Real,real
0.3005806848520658,0.2272220930920901,0.8613619666616646,0.05857382015306122,853.7617355336353,5.952310043202167,0.061209791305101305,602.0,400.0,1.505,jpeg,pilot_000160,Tiny-GenImage,Real,real
