image_id,fold_model,label,generator_id,real_domain,original_role,p_ai
EXT_REAL_0011,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.007898214273154736
EXT_REAL_0012,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.003115591825917363
EXT_REAL_0033,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.01532662007957697
EXT_REAL_0034,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0015640201745554805
EXT_REAL_0040,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.002662146696820855
EXT_REAL_0042,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.002877260558307171
EXT_REAL_0045,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0001757651916705072
EXT_REAL_0056,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,1.329097904090304e-05
EXT_REAL_0058,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0024063680320978165
EXT_REAL_0068,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.001654051593504846
EXT_REAL_0076,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,9.770887845661491e-05
EXT_REAL_0078,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0033156906720250845
EXT_REAL_0085,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.00468922546133399
EXT_REAL_0088,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0003655314794741571
EXT_REAL_0092,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.009673618711531162
EXT_REAL_0097,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,5.417166175902821e-05
EXT_REAL_0105,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.00023205274192150682
EXT_REAL_0119,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0006109101814217865
EXT_REAL_0142,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.008522593416273594
EXT_REAL_0148,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.004495781846344471
EXT_REAL_0150,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.001900187460705638
EXT_REAL_0151,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,9.305484854849055e-05
EXT_REAL_0156,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.006177832838147879
EXT_REAL_0157,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0021104589104652405
EXT_REAL_0168,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.002848614240065217
EXT_REAL_0172,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.00014612819359172136
EXT_REAL_0176,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.00021690547873731703
EXT_REAL_0178,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.08510299772024155
EXT_REAL_0201,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0013814502162858844
EXT_REAL_0211,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.002390393288806081
EXT_REAL_0214,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0038573306519538164
EXT_REAL_0216,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.00023675667762290686
EXT_REAL_0228,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.24584335088729858
EXT_REAL_0235,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,1.9055523807764985e-05
EXT_REAL_0243,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.017030296847224236
EXT_REAL_0249,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0013164668343961239
EXT_REAL_0255,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0007376727880910039
EXT_REAL_0267,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.006711812224239111
EXT_REAL_0272,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.00015812892524991184
EXT_REAL_0278,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.000585559755563736
EXT_REAL_0281,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.00044624964357353747
EXT_REAL_0291,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.00042302958900108933
EXT_REAL_0297,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0004953017341904342
EXT_REAL_0304,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0012676373589783907
EXT_REAL_0322,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.01228594034910202
EXT_REAL_0331,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.002123857382684946
EXT_REAL_0336,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0009227747214026749
EXT_REAL_0341,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0004105030675418675
EXT_REAL_0345,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.001870175707153976
EXT_REAL_0350,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,7.840566104277968e-05
EXT_REAL_0355,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0007493207231163979
EXT_REAL_0357,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.14631006121635437
EXT_REAL_0360,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.01551292184740305
EXT_REAL_0368,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.00019611831521615386
EXT_REAL_0369,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.005370153579860926
EXT_REAL_0373,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.028137318789958954
EXT_REAL_0378,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0014294887660071254
EXT_REAL_0380,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0005132801597937942
EXT_REAL_0396,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.001552666537463665
EXT_REAL_0397,3,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0003376748936716467
MLLM_HYB_real_105,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.6467117667198181
MLLM_HYB_real_109,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.6751484870910645
MLLM_HYB_real_113,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.5187053084373474
MLLM_HYB_real_13,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.7205523252487183
MLLM_HYB_real_131,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.8229979276657104
MLLM_HYB_real_133,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.6000094413757324
MLLM_HYB_real_146,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.7380369305610657
MLLM_HYB_real_148,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.38036563992500305
MLLM_HYB_real_155,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.06691224873065948
MLLM_HYB_real_165,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.7289555668830872
MLLM_HYB_real_170,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.4085584878921509
MLLM_HYB_real_171,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.8808584809303284
MLLM_HYB_real_172,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.7303995490074158
MLLM_HYB_real_177,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.658470630645752
MLLM_HYB_real_180,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.5269383192062378
MLLM_HYB_real_25,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.14595963060855865
MLLM_HYB_real_37,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.8017418384552002
MLLM_HYB_real_45,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.7246407270431519
MLLM_HYB_real_47,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.36381471157073975
MLLM_HYB_real_48,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.18049155175685883
MLLM_HYB_real_5,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.820709228515625
MLLM_HYB_real_52,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.2611726224422455
MLLM_HYB_real_54,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.8986736536026001
MLLM_HYB_real_63,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.9171839952468872
MLLM_HYB_real_76,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.33705535531044006
MLLM_HYB_real_78,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.24207182228565216
MLLM_HYB_real_81,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.6032332181930542
MLLM_HYB_real_88,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.7748841643333435
MLLM_HYB_real_93,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.790251612663269
MLLM_HYB_real_95,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.435472697019577
MLLM_STR_real_116,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.02838846854865551
MLLM_STR_real_13,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0015701737720519304
MLLM_STR_real_14,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.004697680938988924
MLLM_STR_real_148,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.08340457081794739
MLLM_STR_real_161,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.00036926279426552355
MLLM_STR_real_17,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.08483051508665085
MLLM_STR_real_18,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0009740183595567942
MLLM_STR_real_188,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.018901512026786804
MLLM_STR_real_189,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.052780818194150925
MLLM_STR_real_190,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.04227835312485695
MLLM_STR_real_193,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0028843856416642666
MLLM_STR_real_201,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0009057075949385762
MLLM_STR_real_209,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.003534898394718766
MLLM_STR_real_214,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0005731690325774252
MLLM_STR_real_227,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0009597103344276547
MLLM_STR_real_238,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0019794662948697805
MLLM_STR_real_247,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.007201665546745062
MLLM_STR_real_249,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.00257176929153502
MLLM_STR_real_253,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.00600995309650898
MLLM_STR_real_26,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0007618160452693701
MLLM_STR_real_261,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.012608868069946766
MLLM_STR_real_273,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.004876009654253721
MLLM_STR_real_274,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0012605416122823954
MLLM_STR_real_276,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0025067853275686502
MLLM_STR_real_296,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.006250828038901091
MLLM_STR_real_30,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0004639294929802418
MLLM_STR_real_304,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.009235969744622707
MLLM_STR_real_306,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0007679343107156456
MLLM_STR_real_31,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0014227464562281966
MLLM_STR_real_312,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0008025924325920641
MLLM_STR_real_313,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0037939059548079967
MLLM_STR_real_40,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0039513008669018745
MLLM_STR_real_42,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0028212296310812235
MLLM_STR_real_54,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.01804451271891594
MLLM_STR_real_58,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.004122482147067785
MLLM_STR_real_59,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0007894780719652772
MLLM_STR_real_6,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.002931213239207864
MLLM_STR_real_69,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.006535762455314398
MLLM_STR_real_72,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.03731552138924599
MLLM_STR_real_75,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.010120637714862823
MLLM_STR_real_76,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0018881551222875714
MLLM_STR_real_78,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.008898788131773472
MLLM_STR_real_84,3,0,real::MLLM,MLLM,REAL_INTERNAL_HOLDOUT,0.0012949655065312982
