fold,image_id,y,generator_id,real_domain,transition,p_H2,p_H3,margin_H2,margin_H3,delta_margin,k5_same_label_frac,dist_to_own_centroid
1,pilot_000000,0,real::Tiny-GenImage,Tiny,both_ok,0.0062305857427418,0.0128316115587949,5.072034541202283,4.342928994244032,-0.7291055469582517,0.4,0.5860680793985676
1,pilot_000001,1,tiny::ADM,,both_ok,0.7789623141288757,0.7671860456466675,1.259629716560116,1.192490005418145,-0.06713971114197093,1.0,0.6662700986851551
1,pilot_000009,1,tiny::SD15,,H2bad_H3ok,0.285859078168869,0.7264731526374817,-0.9155810950870256,0.9768017051109681,1.8923828001979937,1.0,0.7020902106011504
1,pilot_000015,1,tiny::ADM,,both_ok,0.8246832489967346,0.8949682116508484,1.548404777114953,2.1425249427396453,0.5941201656246924,1.0,0.6037041396664155
1,pilot_000018,0,real::Tiny-GenImage,Tiny,both_ok,0.1951302289962768,0.4162088632583618,1.4170134309352158,0.3383559232792117,-1.078657507656004,0.6,0.7300346358713561
1,pilot_000020,0,real::Tiny-GenImage,Tiny,both_ok,0.0068545136600732,0.02305868268013,4.975970132900992,3.746383913931302,-1.2295862189696898,0.8,0.6395760150620766
1,pilot_000022,0,real::Tiny-GenImage,Tiny,both_ok,0.0070230360142886,0.0189786851406097,4.951511453467743,3.9452771710674686,-1.0062342824002748,1.0,0.645646056734532
1,pilot_000023,1,tiny::SD15,,both_ok,0.8525394797325134,0.8609686493873596,1.7546587593901846,1.823358633244663,0.0686998738544784,1.0,0.5964859339608054
1,pilot_000028,0,real::Tiny-GenImage,Tiny,both_ok,0.0113641349598765,0.0259507987648248,4.4658633668801215,3.6252602194371004,-0.8406031474430211,0.8,0.5458863734209364
1,pilot_000029,1,tiny::ADM,,both_bad,0.2978776097297668,0.2734785377979278,-0.857425044203901,-0.9770445402409615,-0.11961949603706057,1.0,0.5962598850807126
1,pilot_000037,1,tiny::SD15,,H2bad_H3ok,0.3525488972663879,0.8034385442733765,-0.6078536326913491,1.4079266821997538,2.015780314891103,0.8,0.6403122197285901
1,pilot_000038,0,real::Tiny-GenImage,Tiny,both_ok,0.0106912003830075,0.0041708443313837,4.527585408483124,5.475456399054995,0.9478709905718707,1.0,0.5586944024445737
1,pilot_000043,1,tiny::ADM,,both_bad,0.0478102974593639,0.0272312592715024,-2.991523176678453,-3.575780943524994,-0.584257766846541,0.8,0.5656410831027109
